Epoch 9 It 4000 | Dev PP = 1413.9499854107146
Epoch 9 It 4000 | Test PP = 1417.4236327974877
Epoch 9 It 4500 | Dev PP = 1418.4988963478131
Epoch 9 It 4500 | Test PP = 1422.1851681648918
Epoch 9 It 5000 | Dev PP = 1426.3184077920564
Epoch 9 It 5000 | Test PP = 1429.6868758459998
Epoch 9 It 5500 | Dev PP = 1421.7087350804268
Epoch 9 It 5500 | Test PP = 1425.4331172580166
Epoch 9 It 6000 | Dev PP = 1413.6955533741814
Epoch 9 It 6000 | Test PP = 1417.9432231657054
Epoch 9 It 6500 | Dev PP = 1419.7695306846417
Epoch 9 It 6500 | Test PP = 1424.3665655257116
Epoch 9 It 7000 | Dev PP = 1429.793460460112
Epoch 9 It 7000 | Test PP = 1434.4617191547206
Epoch 9 It 7500 | Dev PP = 1433.6974375768189
Epoch 9 It 7500 | Test PP = 1439.1115407253321
Epoch 9 It 8000 | Dev PP = 1428.1090457953546
Epoch 9 It 8000 | Test PP = 1434.0745743027937
Epoch 9 It 8500 | Dev PP = 1433.5602232441229
Epoch 9 It 8500 | Test PP = 1438.326343814556
Epoch 9 It 9000 | Dev PP = 1432.5638421854264
Epoch 9 It 9000 | Test PP = 1436.1687716796835
Epoch 9 It 9500 | Dev PP = 1428.0043595449733
Epoch 9 It 9500 | Test PP = 1431.283475721245
Epoch 9 It 10000 | Dev PP = 1430.4282010364345
Epoch 9 It 10000 | Test PP = 1433.416986486837
Epoch 9 It 10500 | Dev PP = 1439.3792252571984
Epoch 9 It 10500 | Test PP = 1441.7535550885736
Best Model Dev PP = 1421.2754487508628
Best Model Test PP = 1423.8616343607662
